label,title,content
6,Goodman-LeGrand House, The Goodman-LeGrand house and museum is located at 624 North Broadway in the city of Tyler county of Smith in the U.S. state of Texas. It was added to the National Register of Historic Places listings in Smith County in 1976 and has been a Recorded Texas Historic Landmark since 1962. The Daughters of the American Revolution designated it an Historic Site in 2010.
1,Our Lady's College Greenhills, Our Lady's College Greenhills is a Roman Catholic all-girls college located in Greenhills Drogheda County Louth in the Republic of Ireland. The College is run under the auspices of the Presentation Sisters.
8,Dąbrówka Opole Voivodeship, Dąbrówka [dɔmˈbrufka] (German Dombrowka) is a village in the administrative district of Gmina Gogolin within Krapkowice County Opole Voivodeship in south-western Poland.Before 1945 the area was part of Germany (see Territorial changes of Poland after World War II).
1,Selfridge High School, Selfridge High School is a public high school located in Selfridge North Dakota on the Standing Rock Indian Reservation. It currently serves over 50 students and is a part of the Selfridge Public School District system.
10,Sertifera, Sertifera is a genus of flowering plants from the orchid family Orchidaceae.
3,H. D. G. Leveson Gower, Sir Henry Dudley Gresham Leveson Gower (/ˈluːsən ˈɡɔər/ LOO-sen GORE; 8 May 1873 – 1 February 1954) was an English cricketer who played first-class cricket for Oxford University and Surrey and captained England in Test cricket. His school nickname Shrimp remained with him through his life but few cricket sources refer to him by anything other than his initials. He was a selector for the England cricket team and a cricketing knight.
0,Maoye International, Maoye International Holdings Limited (SEHK: 848) or Maoye International Maoye is the top-rank leading department store in Shenzhen Guangdong China and is engaged in department store and retailing business in Guangdong Sichuan Chongqing and Jiangsu. Maoye postponed in the Hong Kong Stock Exchange for two times in 2000 and January 2008 respectively due to poor stock market conditions at that time until it was successfully listed on 5 May 2008.
11,Good Vibrations: Thirty Years of The Beach Boys, Good Vibrations: Thirty Years of The Beach Boys is a 1993 boxed set released by Capitol Records which collects tracks spanning The Beach Boys' entire career to that point on four CDs. A fifth disc contains mostly studio session tracks complete vocal and instrumental tracks and rare live performances. The set also includes a car window decal.
1,Gulliver Schools, Gulliver Schools is a group of private co-educational schools. Its management offices are in Coral Gables Florida. Its campuses are across Miami-Dade County.
8,Kharman Kola, Kharman Kola (Persian: خرمن كلا‎ also Romanized as Kharman Kolā) is a village in Dasht-e Sar Rural District Dabudasht District Amol County Mazandaran Province Iran. At the 2006 census its population was 194 in 49 families.
0,MetaLab Ltd., MetaLab is an interface design firm located in Victoria British Columbia. Their clients include Google Disney CBS other Fortune 500 businesses as well as new web startups. They also are the creators of Ballpark online invoicing Flow task management and Pixel Union Tumblr themes.The company founded in 2006 by Andrew Wilkinson has received praise on numerous design blogs including Best Web Gallery.
9,Earthworm eel, The earthworm eels also known as the spineless eels are a family (Chaudhuriidae) of small freshwater eel-like fish related to the swamp eels and spiny eels. The 10 known species (as of 2011) are literally the size and shape of earthworms thus the family name.
13,Nura: Rise of the Yokai Clan, Nura: Rise of the Yokai Clan known in Japan as Nurarihyon no Mago (ぬらりひょんの孫 Nurarihyon no Mago lit. Grandson of Nurarihyon) is a manga series written and illustrated by Hiroshi Shiibashi. The series was first published in Shueisha as a oneshot in 2007. The manga has been continuously serialized in the Japanese manga anthology Weekly Shōnen Jump since March 2008 and has been collected into 25 tankōbon volumes as of December 2012. A Drama CD was released in December 2009.
8,Aqcheh Kand Qazvin, Aqcheh Kand (Persian: اقچه كند‎ also Romanized as Āqcheh Kand Āqcheh Kan Āqjā Kand Āqjeh Kand; also known as Ak-Dzhakand) is a village in Qaqazan-e Sharqi Rural District in the Central District of Takestan County Qazvin Province Iran. At the 2006 census its population was 238 in 61 families.
5,Nissan R382, The Nissan R382 was a racing car built in 1969 by Nissan Motors for competition in the Japanese Grand Prix. Built to the Group 7 motorsports formula the car featured Nissan's first V12 engine. It was a replacement for the Nissan R381 from the previous year.
4,Chaudhary Devi Lal, Chaudhary Devi Lal (16 September 1914 – 6 April 2001) was an Indian politician who twice served as Chief Minister of Haryana first in 1977–79 and then in 1987–89. He also served as sixth Deputy Prime Minister of India from 1989–91 in the governments of V. P. Singh and Chandra Shekhar.
13,They Also Ran, They Also Ran is the title of a 1943 book by Irving Stone. Stone a historian evaluates several unsuccessful candidates for President of the United States in light of their places in history (and those of their victorious opponents) and attempts to assess whether or not the American people made the right choice in rejecting them for that office.The Chicago Tribune called They Also Ran a fascinating and challenging book while the New York Times praised it as a brilliant idea . . .
11,Ruun, Ruun is the ninth full-length album by Norwegian black metal band Enslaved. It was released on 2 May 2006. It was given Norway's 2006 Spellemann award for best achievement in the 'Metal' genre.
2,Mai Matsumuro, Mai Matsumuro (松室 麻衣 Matsumuro Mai born June 10 1983) is a Japanese singer. She was one of the three original members and original lead singer of the J-pop band Dream also known as Dream/DRM.In July of 2002 she left the band to pursue a solo career. She is also known for writing the lyrics to the Japanese version of BoA's debut single ID; Peace B.In 2006 Matsumuro launched a solo career releasing digital singles.
11,Roy Orbison and Friends: A Black and White Night, Roy Orbison and Friends A Black and White Night is a 1988 Cinemax television special originally broadcast on January 3 1988 starring Hall of Fame singer/songwriter Roy Orbison. The special was filmed entirely in black and white. A live album was released following the broadcast.
10,Oligoneuron, Oligoneuron is a small genus of flowering plants in the sunflower family (Asteraceae).This genus was previously treated as a section in the genus Solidago or belonged to the genus Aster. The genus Oligoneuron is considered phylogenetically a basal or near-basal member of the subtribe Astereae.
0,Transtek, Transtek Systems is a major business software firm in the Middle East. Transtek System's flagship product is Compass ERP a dual language (English-Arabic) Enterprise Resource Planning system. According to the major Arab daily Al-Hayat Compass ERP was the local alternative in Syria after US economic sanctions prohibited major international technology and ERP vendors to sell their products in Syria.
1,Baylor College of Medicine, Baylor College of Medicine (BCM) located in the Texas Medical Center in Houston Texas US is a health sciences university that creates and applies science and discoveries to further education healthcare and community service locally and globally.
1,Covenant Christian School (Panama City Florida), Covenant Christian School is a private Christian school located in Panama City Florida. The school educates students in Pre-K (age 3) to 12th grade. The school is a ministry of Covenant Presbyterian Church of Panama City. It was founded in 1982 and had its first graduating class in 1989. The principal is Glenda Delmar who presides over all grades.
5,French ship Bergère, Bergère (French shepherd female form) was a 300 ton ship. On May 14 1785 it transported 273 Acadians and 5 French from Nantes France to New Orleans Louisiana arriving August 15 1785.
10,Mastigion, Mastigion is a genus of orchids with 5 species.
0,Singapore Airlines Cargo, Singapore Airlines Cargo (abbreviated as SIA Cargo) is a cargo airline based in Singapore. It is a subsidiary of Singapore Airlines and was incorporated in 2001. SIA Cargo operates 13 freighters and manages the bellyhold of all Singapore Airlines and Scoot aircraft. Its head office is in the Fifth Floor of the SATS Airfreight Terminal 5 at Singapore Changi Airport.SIA Cargo's warehouse in Singapore dubbed SIA Superhub 1 was opened in 1995.
2,Jérôme Badini, Jérôme Badini is a French saxophonist composer and founder of the electro-sax style. Jazz producer at Radio France since 2010.
11,Pleasure to Burn (Burning Rain album), Pleasure to Burn is the second studio album released by the hard rock band Burning Rain.
0,China Gerui Advanced Materials Group Ltd., China Gerui Advanced Materials Group Ltd.(河南鸽瑞复合材料有限公司) (NASDAQ: CHOP) a contract manufacturer of strip steel products was founded in 2000 and is now headquartered in Zhengzhou City Henan Province the People's Republic of China. The company engages in food and industrial packaging construction and household decorations electrical appliances and telecommunications wires and cables industries. The company owns two subsidiaries—Henan Green and Zhengzhou Company.
5,Mystery (lugger), Mystery was a Mount's Bay lugger which made a voyage to Australia in 1854/55. Her passage to Cape Town was so fast that she was commissioned to take mail from there to Australia.
10,Hechtia sphaeroblasta, Hechtia sphaeroblasta is a species of bromeliad plant that is endemic to Mexico. They have pale to yellowish green leaves that show a red blush around each peripheral spine.
11,It Came from Outer Space!, It Came from Outer Space! is the first full-length album released by the Christian rock band Dweeb. Dweeb were an indie band from Coventry UK from 2002 – 2011. It Came from Outer Space! was released in 2007 by Risen Records; the label's ninth CD release. The band was made up of Tim Alford Matt Donald 'The Badgerman' and Dave Ashworth.
6,Hong Kong Hotel, The Hongkong Hotel was Hong Kong's first luxury hotel modelled after sumptuous London hotels. It opened on Queen's Road and Pedder Street in 1868 later expanding into the Victoria Harbour waterfront of Victoria City in 1893.
13,Pentecost Star, The Pentecost Star is a ni-Vanuatu weekly newspaper issued on Pentecost Island. It was founded in August 2007 by Keithly Hango.The Star has the particularity of having started out as the only newspaper that’s written by hand. Its founder was a 37 year-old former Trading Post newspaper boy who stated that his aim was to disseminate interesting factual information to the people of Pentecost.
3,Mike Glavine, Michael Patrick Glavine (born January 24 1973 in Concord Massachusetts) was a Major League Baseball first baseman who played for the New York Mets in 2003. He is the brother of Tom Glavine. He was drafted by the Cleveland Indians in the 22nd round of the 1995 amateur draft. His only Major League experience came when he joined the Mets in September 2003 joining his brother on the team. He played in six games and had one hit in seven at bats for the 2003 Mets.
13,Abarat, Abarat (2002) is a fantasy novel written and illustrated by Clive Barker the first in Barker's The Books of Abarat series. It is aimed primarily at young adults. The eponymous Abarat is a fictional archipelago which is the setting for the majority of the story.The title image contains an ambigram. The paintings in the book are done with oils. Barker had already completed 300 paintings before he started working on the first book.
1,Pine-Richland High School, Pine-Richland High School is a large public high school located at 700 Warrendale Road in Gibsonia Pennsylvania. It is the only high school in the Pine-Richland School District and is located in Pine Township Pennsylvania. In 2013 the school's enrollment was 1554 pupils with 5% coming from a low income home and 11% receiving special education services. Eight percent of students were identified as gifted.
2,Robert Shaw (blues musician), Robert Shaw (August 9 1908 – May 18 1985) was an American blues and boogie-woogie pianist best known for his 1963 album The Ma Grinder.
8,Włodzimierzów Gmina Sulejów, Włodzimierzów [vwɔd͡ʑiˈmjɛʐuf] is a village in the administrative district of Gmina Sulejów within Piotrków County Łódź Voivodeship in central Poland.The village has a population of 1300.
0,Collinson Grant, Collinson Grant is a management consultancy firm with offices in London and Manchester.
11,Heads or Tales, Heads Or Tales is the fifth studio album by the Canadian progressive rock band Saga and was originally released in 1983. The album was the second of the band's to be produced by 1980s producer Rupert Hine. Although it did not receive the commercial success of the previous collaboration between the band and Hine both The Flyer and Cat Walk became respectable radio hits for the band with the album eventually securing gold status in Canada and Germany.
11,Coast to Coast (Westlife album), Coast to Coast is the second studio album by Irish boy band Westlife. It was released on 6 November 2000 by RCA Records. Six hit singles were released from the album: Against All Odds My Love What Makes a Man I Lay My Love on You When You're Looking Like That and Uptown Girl. The album was a commercial success in both Ireland and the United Kingdom selling 1.8 million copies in Britain alone. The album was the third-best selling of 2000 in Britain.
3,Roy Posas, Roy Francisco Posas Ferrufino (born 14 March 1984 in Danlí El Paraíso Honduras) is a Honduran footballer who plays for Liga Nacional de Honduras club Atlético Choloma as a left back.
8,Deylamshah, Deylamshah (Persian: ديلم شاه‎ also Romanized as Deylamshāh) is a village in Alan Baraghush Rural District Mehraban District Sarab County East Azerbaijan Province Iran. At the 2006 census its population was 80 in 17 families.
13,Ask Shagg, Ask Shagg is a syndicated daily comic strip drawn by cartoonist Peter Guren since 1980. It is distributed by Creators Syndicate; it had been distributed by United Feature Syndicate from 1980 until 1995. The strip has run in dozens of newspapers including the Boston Globe Columbus Dispatch and Seattle Post-Intelligencer. In each strip Guren through his Shagg E. Dawg character answers questions from readers about the animal kingdom.
11,Unlimited Genocide, Unlimited Genocide is an anarcho-punk split-album by the band Oi Polloi and A.O.A.. It was released in 1986 on (C.O.R. Records).
2,Lea Lexis, Lea Lexis (born February 18 1988) is the stage name of a Romanian pornographic actress active since 2007. Lexis was previously a gymnastics star and won five national titles in her home country. Lexis retired at age 14 after she suffered a double breakage in a muscle for which recovery took six months. This gave her one of the special traits that she sometimes shows in her movies an amazing flexibility. In July 2007 she started shooting porn in Eastern Europe.
10,Euphorbia cotinifolia, Euphorbia cotinifolia is a broadleaf evergreen shrub native to Mexico and South America. Treated as a shrub it reaches 10 to 15 ft (3.0 to 4.6 m) but can be grown as a tree reaching 30 ft (9.1 m). Small white flowers with creamy bracts bloom at the ends of the branches in summer. The purplish stems when broken exude a sap that is a skin irritant.
12,Metal: A Headbanger's Journey, Metal: A Headbanger's Journey is a 2005 documentary directed by Sam Dunn with Scot McFadyen and Jessica Wise. The film follows 31-year-old Dunn a Canadian anthropologist who has been a heavy metal fan since the age of 12. Dunn sets out across the world to uncover the various opinions on heavy metal music including its origins culture controversy and the reasons it is loved by so many people.
0,The ADT Corporation, The ADT Corporation provides residential and small business electronic security fire protection and other related alarm monitoring services in 35 countries. The corporate head office is located in Boca Raton FL.
4,Ieng Thirith, Ieng Thirith (née Khieu; Khmer: អៀង ធីរិទ្ធ; born 10 March 1932) was an influential figure in the Khmer Rouge but was neither a member of the Khmer Rouge Standing Committee nor of the Central Committee. Ieng Thirith is the wife of Ieng Sary who was minister of foreign affairs of Democratic Kampuchea's Khmer Rouge regime.
2,Antônio Henrique Amaral, Antonio Henrique Amaral is a present-day Brazilian painter and printmaker. He is most well known for his images artistic political critiques in the form of a series of paintings of bananas that have been mutilated by forks and ropes.
6,Benson Hotel, The Benson Hotel is a 287-room historic hotel building in downtown Portland Oregon United States.It is owned and operated by Coast Hotels & Resorts. It was originally known as the New Oregon Hotel and is commonly known as The Benson. It has a reputation as one of Portland's finest hotels. The hotel is named after notable businessman and philanthropist Simon Benson. The Benson is the seventh largest hotel in Portland based on the number of rooms.
6,All Saints Church Chadshunt, All Saints Church Chadshunt is a redundant Anglican church in the parish of Chadshunt Warwickshire England. It is designated by English Heritage as a Grade II* listed building and is under the care of the Churches Conservation Trust. It stands by the side of the road from Kineton to Southam. Its general appearance is long low and massive.
13,College Mathematics Journal, The College Mathematics Journal published by the Mathematical Association of America is an expository journal aimed at teachers of college mathematics particular those teaching the first two years. It is a continuation of Two-Year College Mathematics Journal. It covers all aspects of mathematics.
0,Air Dravida, Air Dravida is an airline project based in Chennai India which intended to commence operations in October 2006 within southern India using a fleet of Bombardier CRJ-200 aircraft. The airline was formally launched in November 2005 and was owned by Chennai-based Premier Tours & Travels and Zircon International a construction company with business interests in Malaysia and Singapore but never completed its establishing process and was shut down again in the same year.
1,Lakers School, Lakers School is a secondary school in Five Acres area of Coleford Gloucestershire England. Alison Elliott is the head teacher. The school's mission is Creating success for all through challenge and support.
13,Strange Girl, Strange Girl is a monthly comic series published by Image Comics. The author of the comic is Rick Remender with art by Eric Nguyen.
1,Hemet Academy of Applied Academics and Technology, HAAAT - Hemet Academy of Applied Academics and Technology is a high school of 180 students all throughout Hemet San Jacinto and surrounding areas. The school is operated by the Hemet Unified School District. HAAAT - Hemet Academy of Applied Academics and Technology's mascot is the Gecko. HAAAT used to be located at 26400 Dartmouth St. The school has been relocated to the previous Santa Fe Middle School campus as of summer 2008.
0,Tianwei Baobian Electric, Tianwei Baobian Electric (TWBB) is a Chinese manufacturer of power transformers and other electrical equipment. Along with competitors Tebian Electric Apparatus (TBEA) and the XD Group it is among the major manufacturers of transformers in China.The company is engaged in manufacturing of wind turbines.
7,Klehini River, The Klehini River is a large glacially fed stream in the vicinity of Haines in the U.S. state of Alaska.The Klehini River is about 42 miles (68 km) long from its source in British Columbia to its mouth at the Chilkat River of which it is the largest tributary.
10,Salix polaris, Salix polaris (polar willow) is a species of willow with a circumpolar distribution in the high arctic tundra extending north to the limits of land and south of the Arctic in the mountains of Norway the northern Ural Mountains the northern Altay Mountains Kamchatka and British Columbia Canada.
2,Oswaldo Guayasamín, Oswaldo Guayasamín (July 6 1919 Quito Ecuador – March 10 1999 Baltimore Maryland United States) was an Ecuadorian master painter and sculptor of Quechua and Mestizo heritage.
4,John Engler, John Mathias Engler (born October 12 1948) is an American politician and member of the Republican Party who served as the 46th Governor of Michigan from 1991 to 2003.Engler has spent most of his adult life in government. He was serving in the Michigan Senate when he enrolled at Thomas M. Cooley Law School and graduated with a Juris Doctor degree having served as a Michigan State Senator since 1979.
13,Magic Street, Magic Street (2005) is an urban fantasy novel by Orson Scott Card. This book follows the magical events in the Baldwin Hills section of contemporary Los Angeles including the life of protagonist Mack Street his foster brother Cecil Tucker a trickster identified variously as Bag Man Puck Mr. Christmas and numerous other members of this upscale community of African-Americans.
12,Pearl View, Pearl View is a 1970 Malayalam language film. It was directed by Kunchacko.
7,Călugărița River, The Călugărița River is a tributary of the Călugărul River in Romania.
3,Nicolás Uriarte, Nicolás Uriarte (born March 21 1990 in Buenos Aires) is an Argentine men's volleyball player member of the national Argentinian team that won two silver medals at South American Championships 2011 and South American Championships 2013. Currently he is a player of Polish club PGE Skra Bełchatów.
10,Eugeissona, Eugeissona is a clustering genus of flowering plant in the palm family native to Borneo Thailand and Malaysia. The six monoecious species provide a wide range of local uses and are commonly called bertam or wild Bornean sago.
9,Lobatse hinge-back tortoise, The Lobatse hinge-back tortoise (Kinixys lobatsiana) is a species of turtle in the Testudinidae family. It is found in Southern Africa. Originally a subspecies of Bell's hinge-back tortoise (Kinixys belliana) this southern African tortoise was elevated to full species status by herpetologist Broadley in 1993.
1,Newport Girls High School, Newport High School is an all-girls school with academy status in Newport Shropshire England. The school was opened in the 1920s. The school is selective and is an all-girls intake. In 2003 the school started to take in a double intake of around 56 students a year and from 2013 the school will now have an intake of 84 per annum. The school has also achieved Maths and Computing specialist satus.
1,Aichi Institute of Technology, Aichi Institute of Technology (愛知工業大学 Aichi kōgyō daigaku) is a private university at Toyota Aichi Japan. The predecessor of the school was founded in 1912 and it was chartered as a university in 1959.
11,At One with the Shadows, At One with the Shadows is the first album released by American thrash/black metal band Skeletonwitch released through Shredded Records. The album is currently out of press.
13,Dangling Man, Dangling Man is a 1944 novel by Saul Bellow. It is his first published work.
5,1958 Dodge, The Dodge lineup was refreshed for the 1958 model year continuing the three-line scheme of the 1955 Dodges with the entry-level Coronet Royal and ornate Custom Royal. The Regal Lancer was added as a new Top of the line model in spring.
5,GMT K2XX, The GMT K2XX platform is an assembly code production developed by General Motors for its line of full-size trucks and large SUVs that went of sale starting with the 2014 model year. The platform which replaced the GMT900 series that had been in production from 2006 to 2013 was introduced in April 2013 for the 2014 Model Year on the trucks followed by the December 2013 production on the 2015 large SUVs that debuted in February 2014.
9,Tarachodes tananus, Tarachodes tananus is a species of praying mantis in the genus Tarachodes.
6,Croswell-Parsons Paper Mill Ruin, Croswell-Parsons Paper Mill Ruin is the historic remains of an industrial structure and archaeological site located at New Baltimore in Greene County New York.It was listed on the National Register of Historic Places in 1996.
8,Haftabad, Haftabad (Persian: هفت اباد‎ also Romanized as Haftābād; also known as Āftābeh) is a village in Margavar Rural District Silvaneh District Urmia County West Azerbaijan Province Iran. At the 2006 census its population was 432 in 81 families.
8,Ataköy Haymana, Ataköy is a village in the District of Haymana Ankara Province Turkey.
12,Saints and Soldiers, Saints and Soldiers is a 2003 war drama film directed by Ryan Little and starring Corbin Allred Alexander Niver Kirby Heyborne Lawrence Bagby and Peter Asle Holden. It is based loosely around events taking place shortly after the Malmedy massacre during the Battle of the Bulge where four U.S. soldiers and a downed British airman need to reach Allied lines to pass on some vital intelligence. The film received mostly positive reviews.
12,Jagratha, Jagratha (Malayalam: ജാഗ്രത) is a 1989 Malayalam Investigative thriller film directed by K. Madhu starring Mammootty Mukesh and Jagathy Sreekumar.This film is the second in the series of the CBI investigative thrillers featuring Mammootty as CBI officer Sethurama Iyer. Oru CBI Diary Kurippu released in 1988 was the first film in this series. Two more sequels were produced: Sethurama Iyer CBI (2004) and Nerariyan CBI (2005).
6,Hydro-Québec Building, The Hydro-Québec Building (French: Édifice Hydro-Québec) in Montreal Quebec Canada stands at 110 metres (360 ft) with 27 floors. Completed in 1962 it houses the headquarters for Hydro-Québec as well the Montreal offices of the Premier of Quebec.
10,Eugenia longicuspis, Eugenia longicuspis is a species of plant in the Myrtaceae family. It is endemic to Peru.
5,German submarine U-342, German submarine U-342 was a Type VIIC U-boat of Nazi Germany's Kriegsmarine during World War II.She was on her first patrol when she was sunk by a Canadian aircraft in April 1944.She did not sink or damage any ships.
2,N. P. van Wyk Louw, Nicolaas Petrus van Wyk Louw (11 June 1906 in Sutherland formerly Cape Province now Northern Cape Province in South Africa – 18 June 1970 in Johannesburg) almost universally known as N.P. van Wyk Louw was an Afrikaans-language poet playwright and scholar. He is the older brother of Afrikaans-language poet W.E.G. Louw.One of the Dertigers or Writers of the Thirties N.P.
7,Mat (river), The Mat (definite Albanian form: Mati Ancient Greek: Mathis Μαθις) is a river in northern Albania. Its source is near Martanesh in the Bulqizë District. It flows west towards the Mat District which takes it name from the river and northwest through the towns Klos and Burrel. About 10 km (6 mi) downstream from Burrel it flows into a large reservoir (Liqeni i Ulzës – Lake Ulëz).
0,Zeugma Systems, Zeugma Systems was a privately held telecommunications equipment supplier delivering open solutions that accelerate new service deployment for broadband service providers of all types. On September 2010 it was announced that Zeugma Systems had closed down and all of its staff were dismissed. There was considerable debate among the experts in telecom space as to why Zeugma failed. Some believed that Zeugma's innovative idea although technologically very sound was just ahead of its time.
13,Herald and News, The Herald and News is a daily newspaper serving the city of Klamath Falls and Klamath County in the U.S. state of Oregon. It also distributes east into Lake County. The publisher is Heidi Wright and the editor is Gerry O'Brien. The Herald and News is a 15000-circulation daily with a staff of 27. The morning paper is published six days a week skipping Mondays.
4,Donna Edwards, Donna F. Edwards (born June 28 1958) is the U.S. Representative for Maryland's 4th congressional district serving since a special election in 2008. She is a member of the Democratic Party.
10,Dicranostigma, Dicranostigma also known as the eastern horned poppies is a genus in the poppy family Papaveraceae the species of which are native to the Himalaya and western China. Although resembling the true horned poppies of Glaucium they have stigmas with two lobes and fruit with only traces of the horns.A number of the species have only been recently published.The annual Dicranostigma erectum and biennial/perennial Dicranostigma lactucoides (Himalayan horned poppy) are regularly cultivated.
4,Shankar Chaudhary, Shankar Chaudhary is a Member of Legislative assembly from Radhanpur constituency in Gujarat for its 12th legislative assembly
12,CrimethInc. Guerilla Film Series Volume One, CrimethInc. Guerilla Film Series Volume One is a collection of anarchist films distributed by CrimethInc..
0,Gemini Group, Gemini Group Inc. is a supplier of plastic and metal products. The company operates internationally from headquarters in Bad Axe Michigan in the United States.
5,USS Royone (IX-235), USS Royone (IX-235) was a training ship in the United States Navy.A former oil screw yacht Royone was built in Bristol Rhode Island in 1936; donated to the United States Naval Academy on 20 December 1949; accepted by the Navy on 2 March 1950 commissioned in April 1950; and used for instruction and recreation of the midshipmen.On 26 June 1967 she was declared excess to the needs of the Navy and on 1 July she was struck from the Navy List.
5,USS Nicholson (TB-29), USS Nicholson (TB-29) was a Blakely-class torpedo boat in the United States Navy.
10,Buddleja 'Longstock Silver', Buddleja 'Longstock Silver' is possibly unique as a sterile hybrid cultivar grown entirely for its foliage. Raised by Peter Moore Chief Propagator at the Longstock Park Nursery in Hampshire England the cultivar is the result of a crossing of Buddleja crispa var. agathosma and Buddleja alternifolia 'Argentea' released to commerce in 2010.
0,SuperJet International, SuperJet International (SJI) is a joint venture between Alenia Aermacchi (51%) and Sukhoi Holding (49%) established to sell the Sukhoi Superjet 100 (SSJ100) a 100-seats new generation regional jet with digital fly-by-wire flight control systems and its business variant Sukhoi Business Jet (SBJ).
6,Ramp Covered Bridge, The Ramp Covered Bridge is a historic wooden covered bridge located at Hopewell Township in Cumberland County Pennsylvania. It is a 130-foot-long (40 m) Burr Truss arch bridge constructed in 1870. It crosses the Conodoguinet Creek. It is one of 17 historic covered bridges in Adams Cumberland and Perry Counties.It was listed on the National Register of Historic Places in 1980.
12,A Fool and His Money (1988 film), A Fool and His Money is a 1988 American comedy film. After losing his job a young advertising whiz decides to use his talents to make himself a fortune promoting a worthless product. Despite protests from his beautiful lover his scam starts to work. A bizarre look at love and money in the 90's.
0,World First, World First is a UK-based foreign exchange company. It offers currency exchange and international payments to private clients and corporate clients in the UK and a number of other countries.
11,Soon After Silence, Soon After Silence is the sixth studio album from the Australian electronica artist Endorphin released in 2007.
6,House at 3 Crown Street, The house at 3 Crown Street in Nelsonville New York United States is located at the corner of Crown a short side street and Secor Street. It is a 19th-century brick home that was added to the National Register of Historic Places in 1982 as the finest mid-century Italianate structure in the area.It is a two-story five-bay brick house on a stone foundation.
3,Wilson Oruma, Wilson Oruma (born 30 December 1976 in Warri Nigeria) is a former football midfielder from Nigeria.
8,Al Kidwah, Al Kidwah is a village in Makkah Province in western Saudi Arabia.
13,The Towers of Toron, The Towers of Toron is a 1964 science fantasy novel by Samuel R. Delany and is the second novel in the Fall of the Towers trilogy. The novel was originally published as Ace Double F-261 together with The Lunar Eye by Robert Moore Williams.The stories of the Fall of the Towers trilogy were originally set in the same post-holocaust Earth as Delany's earlier The Jewels of Aptor linking references however were removed in later revised editions.
9,Antaeotricha vacata, Antaeotricha vacata is a moth of the Oecophoridae family. It is endemic to Grenada and Trinidad.The wingspan is 20-22 mm.
6,Riverside Methodist Church and Parsonage, Riverside Methodist Church and Parsonage is a historic Methodist church and parsonage on Charles and Orchard Streets in Rhinecliff Dutchess County in the U.S. state of New York. The church was built about 1859 and the parsonage about 1888. The church is a small two story rectangular stone building in the Gothic Revival style. It features a steeply pitched gable roof covered in polychrome slate. It has an open-frame bell tower and is built into the side of a hill.
8,Ayyappancoil, Ayyappancoil അയ്യപ്പന്കോവിൽ is a village in Idukki district in the Indian state of Kerala.Ayyappancoil is 7.430 km far from Kattappana which is a nearby major town. Ayyappancoil is located 17.33 km from district headquarters and 135 km from its State capital city Thiruvananthapuram .Ayyappancoil was a big township in early 1960s. During the construction of Idukki hydro-electric project the township was evacuated by the Kerala government.
3,David Munks, David Munks (born 29 April 1947) is a former English footballer whose career ran from the mid-1960s to the mid-1970s. Born in Sheffield on 29 April 1947 Munks won two England Youth caps whilst with his first club Sheffield United . The following month he broke into the first team for the first time during a tour of New Zealand. In all Munks was to make over 100 appearances for The Blades before moving to Portsmouth in the 1969 close season.
10,Pedobesia, In taxonomy Pedobesia is a genus of algae specifically of the Derbesiaceae.
12,Puteri Gunong Ledang (film), Puteri Gunong Ledang (The Princess of Mount Ledang) is a 1961 Malaysian period film directed by S. Roomai Noor and based on the Legend of Puteri Gunung Ledang. The film introduces actress Elaine Edley in her first film role.
1,United Theological College Bangalore, United Theological College (UTC) is a theological seminary situated in the southern city of Bangalore in the state of Karnataka in South India. UTC was founded by Bernard Lucas in 1910 and is affiliated to the Senate of Serampore College (University).Since 1976 it has been granted the status of an autonomous college under the University. The college has welcomed world leaders.
4,William Rock Painter, William Rock Painter (August 27 1863 – July 1 1947) was a Democratic politician from the state of Missouri. He was the state's 28th Lieutenant Governor and later a State Senator.
0,Soft On Demand, Soft On Demand (ソフト・オン・デマンド Sofuto On Demando) often known as SOD is a Japanese adult video group of companies which has its headquarters in the Nakano ward of Tokyo. SOD was founded in December 1995 by Ganari Takahashi who retired from the company in March 2005 and is currently working in agriculture. The company is one of the largest adult video companies in Japan and is notable for its creative approach to adult videos.
11,Fire & Fleet & Candlelight, Fire & Fleet & Candlelight was the fourth album by Cree singer and songwriter Buffy Sainte-Marie.More than its predecessor Little Wheel Spin and Spin it marked a significant departure from the simple folk songs of her first two albums. Following the same path that Joan Baez and Judy Collins were taking at the time Sainte-Marie relies on the orchestration of Peter Schickele on Summer Boy The Carousel and Hey Little Bird.
3,Margie Smith, Margie Smith (born March 20 1960 in Winnipeg Manitoba) is an American curler from Shoreview Minnesota. She is a former U.S. national senior women's champion.Smith has played in eight national championships coming closest to winning in her first event in 1987 where she lost in the final to Washington's Sharon Good. She has also curled in the 1991 1994 1998 2000 2006 2009 and 2011 U.S. women's championships.
12,The Mystery of Bangalore, The Mystery of Bangalore (German:Das Rätsel von Bangalor) is a 1918 German silent film directed by Alexander Antalffy and Paul Leni and starring Conrad Veidt Gilda Langer and Harry Liedtke.
1,Masters Performing Arts College, Masters Performing Arts College is an independent performing arts college based in the town of Rayleigh in Essex England. The college was founded in 1995 by former professional dancer and dance teacher Wendy Headford.Since 2009 the college has been run by four directors:Wendy Headford F.I.S.T.DMatthew Plummer BA (Hons)Michaela Headford A.I.S.T.D. DipLiam O'Donoghue - Finance Director
